id;federal_subject;boundary_name
00000000115290;Сахалинская область;Калининградская область
00000000116183;РФ;Кемеровская область
00000000116383;Чувашская республика;Челябинская область
00000000117194;Томская область;Ставропольский край
00000000117234;Томская область;Алтайский край
00000000117490;РФ;Ямало-Ненецкий автономный округ
00000000117992;Оренбургская область;Республика Татарстан
00000000117996;Оренбургская область;Республика Алтай
00000000117998;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000118070;Томская область;Свердловская область
00000000118210;РФ;Республика Бурятия
00000000118318;Оренбургская область;Краснодарский край
00000000118321;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000118326;Оренбургская область;Республика Алтай
00000000118332;Оренбургская область;Самарская область
00000000118336;РФ;Республика Татарстан
00000000118346;Оренбургская область;Пермский край
00000000118371;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000118375;Оренбургская область;Республика Татарстан
00000000118379;РФ;Оренбургская область
00000000118607;Кировская область;Алтайский край
00000000118614;Ульяновская область;Саратовская область
00000000118663;Оренбургская область;Орловская область
00000000118665;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000118667;Оренбургская область;Новосибирская область
00000000118668;Оренбургская область;Алтайский край
00000000118673;Оренбургская область;Алтайский край
00000000118674;Оренбургская область;Алтайский край
00000000118675;Оренбургская область;Республика Татарстан
00000000118676;Оренбургская область;Республика Татарстан
00000000118678;Оренбургская область;Республика Татарстан
00000000118680;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000118681;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000118682;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000118684;Оренбургская область;Республика Татарстан
00000000118685;Оренбургская область;Ярославская область
00000000118688;Оренбургская область;Республика Алтай
00000000118690;Оренбургская область;Республика Татарстан
00000000118691;Оренбургская область;Краснодарский край
00000000118692;Оренбургская область;Республика Алтай
00000000118693;Оренбургская область;Пермский край
00000000118695;Оренбургская область;Республика Татарстан
00000000118698;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000118699;Оренбургская область;Новосибирская область
00000000119356;Республика Саха (Якутия);Алтайский край
00000000119360;РФ;Республика Саха (Якутия)
00000000119421;Оренбургская область;Калужская область
00000000119423;Оренбургская область;Краснодарский край
00000000119425;Оренбургская область;Республика Дагестан
00000000119429;Оренбургская область;Удмуртская республика
00000000119431;Оренбургская область;Республика Татарстан
00000000119433;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000119434;Оренбургская область;Республика Алтай
00000000119438;Оренбургская область;Республика Татарстан
00000000119439;Оренбургская область;Республика Татарстан
00000000119444;Оренбургская область;Республика Татарстан
00000000119448;Оренбургская область;Республика Татарстан
00000000119529;Челябинская область;Москва
00000000119532;Челябинская область;Московская область
00000000119533;Челябинская область;Нижегородская область
00000000119535;Челябинская область;Московская область
00000000119536;Челябинская область;Москва
00000000119544;Челябинская область;Санкт-Петербург
00000000119658;Сахалинская область;Ростовская область
00000000119743;Краснодарский край;Калининградская область
00000000119896;Оренбургская область;Республика Татарстан
00000000120152;РФ;Республика Саха (Якутия)
00000000120213;Забайкальский край;Иркутская область
00000000120286;Республика Саха (Якутия);Республика Мордовия
00000000120514;РФ;Чувашская республика
00000000120522;РФ;Чувашская республика
00000000120530;РФ;Чувашская республика
00000000120545;РФ;Чувашская республика
00000000120547;РФ;Чувашская республика
00000000120548;РФ;Чувашская республика
00000000121139;Оренбургская область;Республика Дагестан
00000000121142;РФ;Оренбургская область
00000000121834;Республика Татарстан;Амурская область
00000000121841;Республика Татарстан;Республика Башкортостан
00000000122171;Севастополь;Севастополь
00000000122172;Севастополь;Севастополь
00000000122505;Курская область;Брянская область
00000000122686;Брянская область;Республика Дагестан
00000000122704;Брянская область;Хабаровский край
00000000122715;Брянская область;Самарская область
00000000123749;Пермский край;Самарская область
00000000123976;Пермский край;Калининградская область
00000000123983;Пермский край;Калининградская область
00000000123985;Пермский край;Калининградская область
00000000123988;Пермский край;Калининградская область
00000000124485;Пермский край;Саратовская область
00000000124500;Пермский край;Саратовская область
00000000124506;Пермский край;Приморский край
00000000124515;Пермский край;Воронежская область
00000000124520;Пермский край;Саратовская область
00000000124522;Пермский край;Саратовская область
00000000124524;Пермский край;Приморский край
00000000124526;Пермский край;Приморский край
00000000124532;Пермский край;Саратовская область
00000000124542;Пермский край;Приморский край
00000000124563;Пермский край;Саратовская область
00000000124568;Пермский край;Саратовская область
00000000124569;Пермский край;Приморский край
00000000124597;Пермский край;Саратовская область
00000000124605;Пермский край;Приморский край
00000000125502;Севастополь;Севастополь
00000000125767;Сахалинская область;Приморский край
00000000125822;Сахалинская область;Республика Башкортостан
00000000125894;РФ;Пермский край
00000000126070;Республика Коми;Республика Татарстан
00000000126074;РФ;Республика Коми
00000000126077;Республика Коми;Алтайский край
00000000126100;Республика Коми;Алтайский край
